City,Region,Country,AirQuality,WaterPollution
Yeosu,South Jeolla,South Korea,25,50
Wonju,Gangwon Province,South Korea,12.5,50
Uijeongbu,Gyeonggi Province,South Korea,25,50
Icheon,Gyeonggi Province,South Korea,0,100
Jeonju,North Jeolla Province,South Korea,19.44444444,100
Jeju,Jeju Province,South Korea,50,60.71428571
Jecheon,North Chungcheong Province,South Korea,12.5,50
Cheonan,South Chungcheong Province,South Korea,25,50
Cheongju,North Chungcheong Province,South Korea,7.142857143,50
Chuncheon,Gangwon Province,South Korea,31.25,12.5
Pyeongtaek,Gyeonggi Province,South Korea,0,75
Pohang,North Gyeongsang Province,South Korea,43.75,37.5
Clermont-Ferrand,,France,80.55555556,15
Kharkiv,Kharkiv Oblast,Ukraine,52.05882353,58.73493976
Sheffield,England,United Kingdom,70.23809524,27.94117647
York,England,United Kingdom,81.81818182,18.75
Suzhou,Jiangsu,People's Republic of China,21.96969697,73.21428571
Wenzhou,Zhejiang,People's Republic of China,10,75
Wuxi,Jiangsu,People's Republic of China,12.5,87.5
Huzhou,Zhejiang,People's Republic of China,5,100
Shaoxing,Zhejiang,People's Republic of China,0,50
Saint-Etienne,,France,90,0
Olympia,Washington,United States of America,87.5,18.75
Palikir,Pohnpei State,Federated States of Micronesia,100,100
Santiago de los Caballeros,Santiago Province,Dominican Republic,35,66.66666667
Ningbo,Zhejiang,People's Republic of China,20.3125,75
Belo Horizonte,Minas Gerais,Brazil,51.171875,47.45762712
Nimes,,France,75,50
Le Havre,,France,75,25
Agra,Uttar Pradesh,India,23.61111111,69.82758621
Harbin,Heilongjiang,People's Republic of China,14.28571429,57.5
Donetsk,Donetsk Oblast,Ukraine,20,65
Aigle,Canton of Vaud,Switzerland,75,25
Cincinnati,Ohio,United States of America,57.57575758,43.10344828
Omaha,Nebraska,United States of America,78.57142857,32.35294118
Fresno,California,United States of America,21.25,78.125
Plymouth,England,United Kingdom,73.80952381,23.61111111
Edirne,Edirne Province,Turkey,33.33333333,50
Richmond,Virginia,United States of America,73.17073171,27.63157895
Chandigarh,,India,54.41176471,58.11688312
Plzen,,Czech Republic,65,42.85714286
Fortaleza,Ceara,Brazil,66.66666667,56.94444444
Derby,England,United Kingdom,73.07692308,21.15384615
Guayaquil,Guayas Province,Ecuador,41.21621622,70.51282051
Cotonou,Littoral Department,Benin,25,100
Louisville,Kentucky,United States of America,56.06060606,38.79310345
Madison,Wisconsin,United States of America,86.76470588,40.32258065
Salem,Oregon,United States of America,87.5,17.85714286
Ketchikan,Alaska,United States of America,100,50
Trois-Rivieres,Quebec,Canada,82.14285714,0
Vaughan,Ontario,Canada,80.88235294,28.33333333
Markham,Ontario,Canada,89.58333333,17.70833333
La Plata,Buenos Aires Province,Argentina,40.90909091,63.63636364
Toulon,,France,60,41.66666667
Brampton,Ontario,Canada,70.83333333,39.88095238
Cordoba,Cordoba Province,Argentina,35,58.33333333
Santa Rosa,La Pampa,Argentina,75,75
San Salvador de Jujuy,Province of Jujuy,Argentina,75,50
La Rioja,La Rioja Province,Argentina,100,50
Mendoza,Mendoza,Argentina,65.625,53.57142857
Viedma,Rio Negro Province,Argentina,100,75
San Luis,San Luis Province,Argentina,75,50
Santiago del Estero,Santiago del Estero Province,Argentina,75,25
Charleston,West Virginia,United States of America,95,50
Bugibba,,Malta,40,65
Viljandi,Viljandi County,Estonia,100,37.5
Tulsa,Oklahoma,United States of America,75,38.63636364
Paide,Jarva County,Estonia,100,0
Monte Carlo,Commune of Monaco,Monaco,22.72727273,43.75
Trabzon,Trabzon Province,Turkey,27.77777778,25
Herat,Herat,Afghanistan,43.75,31.25
Coimbra,Coimbra,Portugal,82.35294118,41.17647059
Kandahar,Kandahar,Afghanistan,0,75
Limoges,,France,100,0
Pecs,Baranya County,Hungary,62.5,25
Dunkirk,,France,36.11111111,45
Gifu,Gifu Prefecture,Japan,62.5,50
Guelma,Annaba Province,Algeria,25,50
Sfax,Sfax Governorate,Tunisia,11.11111111,70.83333333
Suceava,Suceava County,Romania,71.875,37.5
Kavaje,Tirana County,Albania,100,75
Sendai,Miyagi Prefecture,Japan,87.5,25
Alcala de Henares,Community of Madrid,Spain,75,50
Espoo,Uusimaa,Finland,95.45454545,19.44444444
Saint-Denis,Reunion,France,75,50
Oulu,,Finland,86.95652174,12.5
Santa Monica,California,United States of America,66.66666667,54.16666667
Hassan,Karnataka,India,68.18181818,60.71428571
Palo Alto,California,United States of America,56.25,50
Green Bay,Wisconsin,United States of America,63.88888889,50
Aix-en-Provence,,France,78.57142857,50
Torun,Kuyavian-Pomeranian Voivodeship,Poland,37.5,42.85714286
Charleston,South Carolina,United States of America,75,57.69230769
Bariloche,Rio Negro Province,Argentina,83.33333333,41.66666667
Lucknow,Uttar Pradesh,India,25.66666667,72.82608696
Salford,England,United Kingdom,100,50
Basra,Basra Governorate,Iraq,27.08333333,72.91666667
Dover,New Hampshire,United States of America,100,50
Dnipro,Dnipropetrovsk Oblast,Ukraine,24.19354839,70.65217391
Nashua,New Hampshire,United States of America,87.5,0
Medellin,Antioquia Department,Colombia,23.9010989,38.23529412
Kobe,Hyogo Prefecture,Japan,80,33.33333333
Kayseri,Kayseri Province,Turkey,25,62.5
Recife,Pernambuco,Brazil,49.16666667,77.41935484
Manchester,New Hampshire,United States of America,76.92307692,38.88888889
Amritsar,Punjab,India,21.56862745,76.70454545
Oak Ridge,Tennessee,United States of America,87.5,50
Strumica,Strumica Municipality,North Macedonia,68.75,28.125
San Luis Obispo,California,United States of America,92.5,45.83333333
Cambridge,Massachusetts,United States of America,91.66666667,21.875
West Hartford,Connecticut,United States of America,91.66666667,6.25
New Haven,Connecticut,United States of America,81.81818182,37.5
New Bedford,Massachusetts,United States of America,25,75
Stamford,Connecticut,United States of America,50,54.16666667
Bridgeport,Connecticut,United States of America,79.16666667,66.66666667
Waterbury,Connecticut,United States of America,80,0
Worcester,Massachusetts,United States of America,91.66666667,75
Pittsfield,Massachusetts,United States of America,89.28571429,100
Fall River,Massachusetts,United States of America,100,50
Newton,Massachusetts,United States of America,75,50
Danbury,Connecticut,United States of America,75,0
Somerville,Massachusetts,United States of America,100,12.5
Portland,Maine,United States of America,82.14285714,42.85714286
Rochester,New York,United States of America,64.70588235,47.91666667
Irvine,California,United States of America,63.15789474,33.33333333
Fremont,California,United States of America,79.16666667,15
Scottsdale,Arizona,United States of America,68.75,28.84615385
Reno,Nevada,United States of America,70.93023256,28.84615385
Winston-Salem,North Carolina,United States of America,94.44444444,5
Durham,North Carolina,United States of America,75,39.58333333
Norfolk,Virginia,United States of America,100,75
Orlando,Florida,United States of America,75.73529412,48.38709677
Greensboro,North Carolina,United States of America,76.66666667,31.81818182
Toledo,Ohio,United States of America,75,75
Stockton,California,United States of America,44.23076923,71.875
Lexington,Kentucky,United States of America,89.28571429,40
Corpus Christi,Texas,United States of America,70,68.18181818
Riverside,California,United States of America,45.83333333,53.33333333
Santa Ana,California,United States of America,50,55
Aurora,Colorado,United States of America,45.83333333,33.33333333
Anaheim,California,United States of America,55.76923077,33.33333333
Tampa,Florida,United States of America,79.78723404,45.93023256
Bakersfield,California,United States of America,16.66666667,68.47826087
Colorado Springs,Colorado,United States of America,79.41176471,38.39285714
Virginia Beach,Virginia,United States of America,85.52631579,36.66666667
Mesa,Arizona,United States of America,68.75,31.25
Wichita,Kansas,United States of America,86.36363636,33.82352941
Henderson,Nevada,United States of America,67.85714286,35
Fort Wayne,Indiana,United States of America,66.66666667,43.75
Chula Vista,California,United States of America,37.5,75
Chandler,Arizona,United States of America,65,45
Lubbock,Texas,United States of America,69.64285714,34.09090909
Garland,Texas,United States of America,75,50
Balzers,,Liechtenstein,75,0
Garden Grove,California,United States of America,75,0
Mississauga,Ontario,Canada,81.69642857,32.69230769
Demmin,Mecklenburg-Western Pomerania,Germany,100,50
Osorno,Los Lagos Region,Chile,25,62.5
Ovalle,Coquimbo Region,Chile,100,25
Cali,Valle del Cauca Department,Colombia,67.04545455,42.1875
Pereira,Risaralda Department,Colombia,25,75
Gniezno,Greater Poland Voivodeship,Poland,50,0
Puente Alto,Santiago Metropolitan Region,Chile,0,50
Punta Arenas,Magellan and the Chilean Antarctic Region,Chile,94.44444444,45
Gilbert,Arizona,United States of America,75,0
Tempe,Arizona,United States of America,68.18181818,46.42857143
Peoria,Arizona,United States of America,65,15
Surprise,Arizona,United States of America,100,0
Plano,Texas,United States of America,78.57142857,32.14285714
Irving,Texas,United States of America,62.5,37.5
Amarillo,Texas,United States of America,53.125,53.125
Brownsville,Texas,United States of America,57.14285714,68.75
Mesquite,Texas,United States of America,50,75
McKinney,Texas,United States of America,87.5,18.75
McAllen,Texas,United States of America,87.5,35.71428571
Chiang Mai,Chiang Mai,Thailand,19.27710843,59.45945946
Kolomyia,Ivano-Frankivsk Oblast,Ukraine,75,0
Orem,Utah,United States of America,65.625,33.33333333
Ogden,Utah,United States of America,80.55555556,0
Rosario,Santa Fe Province,Argentina,71.42857143,57.14285714
Mar del Plata,Buenos Aires Province,Argentina,82.14285714,35.71428571
Kalisz,Greater Poland Voivodeship,Poland,50,50
Konin,Greater Poland Voivodeship,Poland,25,25
Leszno,Greater Poland Voivodeship,Poland,75,50
Faenza,Emilia-Romagna,Italy,75,50
Richmond Hill,Ontario,Canada,89.28571429,8.333333333
Newmarket,Ontario,Canada,100,0
Saltillo,Coahuila,Mexico,68.33333333,42.85714286
Bahia Blanca,Buenos Aires Province,Argentina,58.33333333,58.33333333
Haverhill,Massachusetts,United States of America,100,50
Beverly,Massachusetts,United States of America,100,0
Medford,Massachusetts,United States of America,100,0
Woburn,Massachusetts,United States of America,87.5,50
Norwalk,Connecticut,United States of America,75,30
East Providence,Rhode Island,United States of America,100,50
Woonsocket,Rhode Island,United States of America,80,100
Nykoping,Sodermanland County,Sweden,100,50
Kumanovo,Kumanovo Municipality,North Macedonia,16.66666667,91.66666667
Visby,Gotland County,Sweden,75,0
Valencia,Carabobo,Venezuela,39.28571429,96.42857143
Cuenca,Azuay Province,Ecuador,45.39473684,28.67647059
Fuenlabrada,Community of Madrid,Spain,87.5,100
Harrow,England,United Kingdom,75,58.33333333
Cabanatuan,,Philippines,33.33333333,50
Novi Sad,,Serbia,59.23913043,47.15909091
San Fernando,,Philippines,0,100
Angeles,,Philippines,32.8125,79.6875
Punta del Este,Maldonado Department,Uruguay,81.25,50
San Bernardo,Santiago Metropolitan Region,Chile,10.88709677,88.72282609
Olongapo,,Philippines,64.28571429,79.16666667
Newcastle,New South Wales,Australia,78,39.28571429
Venice,Florida,United States of America,91.66666667,16.66666667
Xuzhou,Jiangsu,People's Republic of China,12.5,75
Lianyungang,Jiangsu,People's Republic of China,0,50
Suqian,Jiangsu,People's Republic of China,0,50
Huai'an,Jiangsu,People's Republic of China,15,25
Yancheng,Jiangsu,People's Republic of China,0,50
Yangzhou,Jiangsu,People's Republic of China,0,50
Taizhou,Jiangsu,People's Republic of China,0,50
Annaberg-Buchholz,Saxony,Germany,87.5,50
Nantong,Jiangsu,People's Republic of China,7.142857143,58.33333333
Zhenjiang,Jiangsu,People's Republic of China,12.5,62.5
Changzhou,Jiangsu,People's Republic of China,4.166666667,62.5
Jiaxing,Zhejiang,People's Republic of China,0,50
Jinhua,Zhejiang,People's Republic of China,0,50
Quzhou,Zhejiang,People's Republic of China,0,50
Lishui,Zhejiang,People's Republic of China,0,50
Zhoushan,Zhejiang,People's Republic of China,12.5,50
Banff,Alberta,Canada,100,0
Shijiazhuang,Hebei,People's Republic of China,0,100
Tangshan,Hebei,People's Republic of China,0,50
Qinhuangdao,Hebei,People's Republic of China,0,50
Xingtai,Hebei,People's Republic of China,0,50
Baoding,Hebei,People's Republic of China,35.71428571,33.33333333
Zhangjiakou,Hebei,People's Republic of China,0,50
Chengde,Hebei,People's Republic of China,0,50
Cangzhou,Hebei,People's Republic of China,0,25
Langfang,Hebei,People's Republic of China,0,50
Hengshui,Hebei,People's Republic of China,0,50
Doncaster,England,United Kingdom,15,45.83333333
Kakinada,Andhra Pradesh,India,62.5,37.5
Zhuhai,Guangdong,People's Republic of China,41.66666667,65
Shantou,Guangdong,People's Republic of China,25,50
Narvik,Nordland,Norway,90,100
Shaoguan,Guangdong,People's Republic of China,25,50
Jiangmen,Guangdong,People's Republic of China,12.5,50
Zhanjiang,Guangdong,People's Republic of China,35,50
Zhaoqing,Guangdong,People's Republic of China,12.5,50
Mo i Rana,Nordland,Norway,80,0
Huizhou,Guangdong,People's Republic of China,25,50
Meizhou,Guangdong,People's Republic of China,25,50
Shanwei,Guangdong,People's Republic of China,30,50
Heyuan,Guangdong,People's Republic of China,40,0
Yangjiang,Guangdong,People's Republic of China,20,100
Dongguan,Guangdong,People's Republic of China,35,50
Zhongshan,Guangdong,People's Republic of China,29.16666667,87.5
Chaozhou,Guangdong,People's Republic of China,25,50
Yunfu,Guangdong,People's Republic of China,25,50
Uzice,Zlatibor District,Serbia,25,75
Columbia,Missouri,United States of America,96.42857143,25
Swakopmund,Erongo Region,Namibia,50,50
Bejaia,Bejaia Province,Algeria,58.33333333,50
Zalaegerszeg,Zala County,Hungary,0,100
Napa,California,United States of America,92.85714286,37.5
Ashkelon,Southern District,Israel,5,100
Malacca,Melaka,Malaysia,75,25
George Town,,Malaysia,50,58.33333333
Campeche,Campeche,Mexico,80,68.75
Chihuahua City,Chihuahua,Mexico,81.25,47.91666667
Colima,Colima,Mexico,75,37.5
Latur,Maharashtra,India,83.33333333,58.33333333
Brandon,Manitoba,Canada,85,40
Nellore,Andhra Pradesh,India,31.48148148,66.66666667
Navi Mumbai,Maharashtra,India,40.2173913,55.27522936
Jonesboro,Arkansas,United States of America,50,50
Semey,East Kazakhstan Region,Kazakhstan,25,75
Taicang,Jiangsu,People's Republic of China,0,100
Vanadzor,Lori Region,Armenia,25,50
General Trias,,Philippines,25,25
Magallanes,,Philippines,50,50
Barranquilla,Atlantico Department,Colombia,52.77777778,50
Koszalin,West Pomeranian Voivodeship,Poland,55,50
Abadan,Khuzestan Province,Iran,0,50
Bacoor,,Philippines,33.33333333,71.42857143
Dasmarinas,,Philippines,28.57142857,79.6875
Imus,,Philippines,25,60
Tagaytay,,Philippines,86.11111111,37.5
Vernier,Canton of Geneva,Switzerland,12.5,75
Baden,Canton Aargau,Switzerland,75,20
Nyon,Canton of Vaud,Switzerland,100,0
Lancy,Canton of Geneva,Switzerland,75,0
Dubendorf,Canton of Zurich,Switzerland,100,50
Baar,Canton of Zug,Switzerland,75,50
High Wycombe,England,United Kingdom,62.5,50
Glogow,Lower Silesian Voivodeship,Poland,50,50
Jaipur,Rajasthan,India,43.6746988,63.55263158
Kanpur,Uttar Pradesh,India,16.40625,76.66666667
Indore,Madhya Pradesh,India,45,70.56451613
Davos,Grisons,Switzerland,100,50
La Chaux-de-Fonds,Canton of Neuchatel,Switzerland,75,0
Olten,Canton of Solothurn,Switzerland,80,100
Sion,Canton of Valais,Switzerland,80,6.25
Zug,Canton of Zug,Switzerland,91.66666667,8.333333333
Vevey,Canton of Vaud,Switzerland,100,0
Nanping,Fujian,People's Republic of China,37.5,50
Putian,Fujian,People's Republic of China,35,50
Sanming,Fujian,People's Republic of China,25,50
Quanzhou,Fujian,People's Republic of China,25,75
Xiamen,Fujian,People's Republic of China,61.11111111,48.21428571
Zhangzhou,Fujian,People's Republic of China,0,50
Longyan,Fujian,People's Republic of China,25,50
Ningde,Fujian,People's Republic of China,25,50
Solothurn,Canton of Solothurn,Switzerland,100,50
Chur,Grisons,Switzerland,100,0
Xining,Qinghai,People's Republic of China,5,75
Cham,Canton of Zug,Switzerland,100,0
Neuchatel,Canton of Neuchatel,Switzerland,92.85714286,0
Montreux,Canton of Vaud,Switzerland,62.5,50
Langenthal,Canton of Bern,Switzerland,100,0
Shiyan,Hubei,People's Republic of China,0,50
Jingzhou,Hubei,People's Republic of China,0,50
Yichang,Hubei,People's Republic of China,0,50
Xiangyang,Hubei,People's Republic of China,15,50
Huanggang,Hubei,People's Republic of China,0,100
Portsmouth,England,United Kingdom,60,40
Kurchatov,Kursk Oblast,Russia,75,75
Taiyuan,Shanxi,People's Republic of China,0,100
Datong,Shanxi,People's Republic of China,12.5,50
Yangquan,Shanxi,People's Republic of China,0,50
Changzhi,Shanxi,People's Republic of China,0,50
Jincheng,Shanxi,People's Republic of China,0,50
Jinzhong,Shanxi,People's Republic of China,0,50
Xinzhou,Shanxi,People's Republic of China,0,50
Linfen,Shanxi,People's Republic of China,22.22222222,55
Dalian,Liaoning,People's Republic of China,26.78571429,50
Fushun,Liaoning,People's Republic of China,0,50
Benxi,Liaoning,People's Republic of China,0,50
Dandong,Liaoning,People's Republic of China,16.66666667,37.5
Yingkou,Liaoning,People's Republic of China,0,50
Panjin,Liaoning,People's Republic of China,0,50
Tieling,Liaoning,People's Republic of China,0,50
Huludao,Liaoning,People's Republic of China,0,50
San Pedro,,Philippines,25,0
Calamba,,Philippines,58.33333333,77.77777778
Santa Rosa,,Philippines,50,62.5
Dzerzhinsk,Nizhny Novgorod Oblast,Russia,100,50
Marion,Arkansas,United States of America,0,75
Kluczbork,Opole Voivodeship,Poland,50,50
Cabot,Arkansas,United States of America,75,25
Russellville,Arkansas,United States of America,93.75,50
Bullhead City,Arizona,United States of America,100,50
Texarkana,Arkansas,United States of America,87.5,50
Rogers,Arkansas,United States of America,87.5,12.5
Dothan,Alabama,United States of America,100,62.5
Fort Smith,Arkansas,United States of America,95,25
Tuscaloosa,Alabama,United States of America,86.11111111,40
Fairbanks,Alaska,United States of America,68.18181818,10
Van Buren,Arkansas,United States of America,100,50
Kingman,Arizona,United States of America,100,75
Florence,Alabama,United States of America,100,50
Mulhouse,,France,87.5,25
Yuma,Arizona,United States of America,77.77777778,45
Flagstaff,Arizona,United States of America,100,18.75
Southampton,England,United Kingdom,67.30769231,46.875
Palmer,Alaska,United States of America,95,0
Konya,Konya Province,Turkey,18.18181818,45
Huntsville,Alabama,United States of America,95,25
Mobile,Alabama,United States of America,75,57.14285714
Maricopa,Arizona,United States of America,100,50
Murfreesboro,Arkansas,United States of America,87.5,37.5
Debrecen,Hajdu-Bihar County,Hungary,56.57894737,20.83333333
Sierra Vista,Arizona,United States of America,75,30
Seward,Alaska,United States of America,100,0
Hot Springs,Arkansas,United States of America,100,0
Prescott,Arizona,United States of America,96.42857143,25
Wasilla,Alaska,United States of America,96.42857143,33.33333333
Varanasi,Uttar Pradesh,India,19.33962264,70.91836735
Kodiak,Alaska,United States of America,100,25
Christchurch,Canterbury Region,New Zealand,80.11363636,33.75
Daugavpils,,Latvia,50,37.5
Tabriz,East Azerbaijan Province,Iran,30.26315789,47.72727273
Patna,Bihar,India,14.49275362,68.25396825
Shreveport,Louisiana,United States of America,78.125,91.66666667
Antakya,Hatay Province,Turkey,87.5,50
Bhopal,Madhya Pradesh,India,48.92857143,67.30769231
Monterrey,Nuevo Leon,Mexico,23.79310345,50
Charleroi,Wallonia,Belgium,50,60
Olomouc,,Czech Republic,66.66666667,20
Acapulco,Guerrero,Mexico,36.36363636,77.27272727
Szeged,Csongrad-Csanad County,Hungary,69.44444444,25
Giza,Giza Governorate,Egypt,8.333333333,79.16666667
Gresham,Oregon,United States of America,100,0
Beaverton,Oregon,United States of America,81.25,6.25
Santos,Sao Paulo,Brazil,65.625,18.75
Temuco,Araucania Region,Chile,18.75,37.5
La Rochelle,,France,90,0
Olsztyn,Warmian-Masurian Voivodeship,Poland,42.70833333,43.75
Van,Van Province,Turkey,0,50
Leicester,England,United Kingdom,70.3125,27.08333333
Goiania,Goias,Brazil,68.75,39.58333333
Durres,Durres County,Albania,37.5,62.5
Mosul,,Iraq,0,75
Sibiu,Sibiu County,Romania,77.63157895,21.66666667
Diyarbakir,Diyarbakir Province,Turkey,18.75,0
Mons,Wallonia,Belgium,80,50
Shimla,,India,63.95348837,62.5
Savannah,Georgia,United States of America,64.0625,52.08333333
Saue,Harju County,Estonia,100,0
Changchun,Jilin,People's Republic of China,16.66666667,56.81818182
Opole,Opole Voivodeship,Poland,37.5,45.45454545
Liaoyuan,Jilin,People's Republic of China,12.5,50
Baishan,Jilin,People's Republic of China,0,50
Baicheng,Jilin,People's Republic of China,0,50
London,Ontario,Canada,69.82758621,51
Sopot,Pomeranian Voivodeship,Poland,45.45454545,53.57142857
Rawalpindi,Punjab,Pakistan,33.33333333,79.34782609
Chrzanow,Lesser Poland Voivodeship,Poland,37.5,50
Gaziantep,Gaziantep Province,Turkey,25,37.5
Sugar Land,Texas,United States of America,87.5,37.5
Mostar,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,93.18181818,35
Oradea,,Romania,65.47619048,26.66666667
Novokuznetsk,Kemerovo Oblast,Russia,0,45
Greeley,Colorado,United States of America,95,0
Waukesha,Wisconsin,United States of America,87.5,50
Appleton,Wisconsin,United States of America,89.28571429,25
Magnitogorsk,Chelyabinsk Oblast,Russia,0,72.72727273
Nizhny Tagil,Sverdlovsk Oblast,Russia,0,100
Volzhsky,,Russia,0,75
Ourense,Galicia,Spain,100,33.33333333
Ibb,Ibb Governorate,Yemen,100,75
Cluj-Napoca,Cluj County,Romania,57.11206897,33.40909091
Newport,Wales,United Kingdom,82.14285714,58.33333333
Narva,Ida-Viru County,Estonia,75,66.66666667
Kielce,Swietokrzyskie Voivodeship,Poland,50,50
Bytom,Silesian Voivodeship,Poland,35,75
Parnu,Parnu County,Estonia,75,25
Miskolc,Borsod-Abauj-Zemplen County,Hungary,44.44444444,15
Corinth,Peloponnese Region,Greece,87.5,50
Czestochowa,Silesian Voivodeship,Poland,45.83333333,12.5
Rovaniemi,,Finland,100,15
Zabrze,Silesian Voivodeship,Poland,15.625,37.5
Ventspils,,Latvia,92.85714286,8.333333333
Lucena,,Philippines,54.16666667,69.23076923
Chorzow,Silesian Voivodeship,Poland,25,50
Zgierz,Lodz Voivodeship,Poland,75,50
Bakal,Chelyabinsk Oblast,Russia,75,100
Balashikha,Moscow Oblast,Russia,25,58.33333333
Elblag,Warmian-Masurian Voivodeship,Poland,54.16666667,50
Zielona Gora,Lubusz Voivodeship,Poland,75,12.5
Plock,Masovian Voivodeship,Poland,33.33333333,45
Gorzow Wielkopolski,Lubusz Voivodeship,Poland,55,75
Radom,Masovian Voivodeship,Poland,40,50
Slupsk,Pomeranian Voivodeship,Poland,87.5,50
Sosnowiec,Silesian Voivodeship,Poland,17.85714286,25
Gliwice,Silesian Voivodeship,Poland,19.11764706,59.61538462
Legnica,Lower Silesian Voivodeship,Poland,50,50
Tarnow,Lesser Poland Voivodeship,Poland,37.5,50
Wloclawek,Kuyavian-Pomeranian Voivodeship,Poland,45,75
Binangonan,,Philippines,75,50
Cainta,,Philippines,45,60
Rybnik,Silesian Voivodeship,Poland,13.88888889,41.66666667
Akranes,,Iceland,100,37.5
Sivas,Sivas Province,Turkey,33.33333333,75
Puerto Galera,,Philippines,50,50
Valmiera,,Latvia,100,50
Belize City,Belize District,Belize,50,77.77777778
Dabrowa Gornicza,Silesian Voivodeship,Poland,33.33333333,25
Kilkenny,Leinster,Ireland,75,75
Pelotas,Rio Grande do Sul,Brazil,50,50
Matola,Maputo Province,Mozambique,37.5,50
Kolobrzeg,West Pomeranian Voivodeship,Poland,100,0
Caxias do Sul,Rio Grande do Sul,Brazil,85,37.5
Mwanza,Mwanza Region,Tanzania,60,55
Walbrzych,Lower Silesian Voivodeship,Poland,36.11111111,60
Puerto Princesa,Western Visayas,Philippines,62.5,54.16666667
Durango,Durango,Mexico,83.33333333,50
Chatham-Kent,Ontario,Canada,60,25
Chuzhou,Anhui,People's Republic of China,0,50
Elbasan,Elbasan County,Albania,0,25
Bar,Bar Municipality,Montenegro,56.25,50
Korce,Korce County,Albania,75,25
Viseu,Viseu,Portugal,79.16666667,37.5
Leuven,Flemish Region,Belgium,56.25,37.5
Mashhad,Razavi Khorasan Province,Iran,27.38095238,56.25
Port Shepstone,,South Africa,75,100
Jhelum,Punjab,Pakistan,87.5,87.5
Eau Claire,Wisconsin,United States of America,96.42857143,33.33333333
Erzurum,Erzurum Province,Turkey,21.875,12.5
Nanyuki,,Kenya,100,25
Grudziadz,Kuyavian-Pomeranian Voivodeship,Poland,45,0
Dundee,Scotland,United Kingdom,88.88888889,8.333333333
Charlottesville,Virginia,United States of America,100,58.33333333
Tijuana,Baja California,Mexico,33.33333333,69.23076923
Vaasa,,Finland,92.5,8.333333333
Port Elizabeth,Eastern Cape,South Africa,80.26315789,56.25
Kimberley,Northern Cape,South Africa,31.25,87.5
Acre,Northern District,Israel,25,75
Tangier,Tanger-Tetouan-Al Hoceima,Morocco,45.58823529,35.41666667
Wolverhampton,England,United Kingdom,33.33333333,33.33333333
Eisenstadt,Burgenland,Austria,87.5,50
Fort McMurray,Alberta,Canada,70,41.66666667
Antibes,,France,65,33.33333333
Weinan,Shaanxi,People's Republic of China,0,50
Mangalore,Karnataka,India,65.09433962,47.53289474
Vantaa,Uusimaa,Finland,87.5,12.5
Beverly Hills,California,United States of America,100,0
Yonkers,New York,United States of America,100,50
Niagara Falls,New York,United States of America,100,50
Kingston upon Hull,England,United Kingdom,59.09090909,42.85714286
Waco,Texas,United States of America,81.25,68.75
Frisco,Texas,United States of America,87.5,29.16666667
Beaumont,Texas,United States of America,70.83333333,87.5
Denton,Texas,United States of America,62.5,37.5
Midland,Texas,United States of America,75,100
Round Rock,Texas,United States of America,75,0
Wichita Falls,Texas,United States of America,62.5,43.75
Odessa,Texas,United States of America,100,50
Lafayette,Louisiana,United States of America,92.85714286,0
Nis,Nisava District,Serbia,28.125,40.27777778
Oyster Bay,New York,United States of America,100,25
Galway,Connacht,Ireland,92.04545455,44.44444444
Roy,Utah,United States of America,100,50
Norwich,England,United Kingdom,71.05263158,31.66666667
Szekesfehervar,Fejer County,Hungary,62.5,18.75
Hoa Binh,Hoa Binh,Vietnam,75,75
Mazar-i-Sharif,Balkh,Afghanistan,11.11111111,83.33333333
Luxor,Luxor Governorate,Egypt,75,37.5
Banja Luka,Republika Srpska,Bosnia and Herzegovina,45.58823529,58.59375
Sioux Falls,South Dakota,United States of America,81.81818182,32.14285714
Brighton,England,United Kingdom,82.14285714,21.73913043
Wiener Neustadt,Lower Austria,Austria,87.5,50
Natal,Rio Grande do Norte,Brazil,80.68181818,59.09090909
Shkoder,Shkoder County,Albania,75,33.33333333
Polokwane,Limpopo,South Africa,50,50
Aden,Adan Governorate,Yemen,16.66666667,75
Oran,Oran Province,Algeria,50,35.71428571
Hanover,New Hampshire,United States of America,100,50
Ubon Ratchathani,Ubon Ratchathani,Thailand,50,50
Pau,,France,75,50
Erbil,,Iraq,36.36363636,64.77272727
Douala,Littoral,Cameroon,40,79.16666667
Florianopolis,Santa Catarina,Brazil,82.60869565,67.39130435
Kolomna,Moscow Oblast,Russia,50,25
Dunedin,Otago Region,New Zealand,85.52631579,15.38461538
Hamilton,Ontario,Canada,42.79661017,54.01785714
Patras,West Greece Region,Greece,60,41.66666667
Volgodonsk,Rostov Oblast,Russia,25,75
Limerick,,Ireland,80.43478261,38.15789474
Namur,Wallonia,Belgium,72.22222222,55
Gyor,Gyor-Moson-Sopron County,Hungary,79.16666667,0
Port Said,Port Said Governorate,Egypt,66.66666667,50
Suez,Suez Governorate,Egypt,0,100
Jyvaskyla,,Finland,95.83333333,0
Saitama,Saitama Prefecture,Japan,68.75,37.5
Exeter,England,United Kingdom,79.16666667,13.63636364
Siauliai,,Lithuania,57.14285714,58.33333333
Stoke-on-Trent,England,United Kingdom,67.85714286,33.33333333
Domodedovo,Moscow Oblast,Russia,50,37.5
Springfield,Missouri,United States of America,84.72222222,42.30769231
Galveston,Texas,United States of America,85.71428571,50
Erzincan,Erzincan Province,Turkey,29.16666667,50
Sandakan,Sabah,Malaysia,75,50
